texto,etiqueta
"No puedo sostener esta fachada",2  
"Me ahogo en mi propia mente",2  
"No quiero seguir aparentando que estoy bien",2  
"Estoy perdiendo la fe en mi mismo",2  
"Siento que ya no tengo lugar en este mundo",2  
"Todo lo que hago parece inutil",2  
"Me siento invisible y olvidado",2  
"No puedo escapar de mi tristeza",2  
"Estoy atrapado en pensamientos negativos",2  
"Me invade una angustia constante",2  
"Cada dia es mas dificil que el anterior",2  
"Mi vida se siente suspendida",2  
"Estoy emocionalmente exhausto",2  
"Ni siquiera me reconozco frente al espejo",2  
"No puedo encontrar consuelo en nada",2  
"Siento que no encajo en ningun lugar",2  
"No tengo fuerza para continuar esta vida",2  
"Mi animo esta por el suelo",2  
"Estoy emocionalmente agotado y sin rumbo",2  
"Todo me parece innecesario",2  
"Solo estoy existiendo, no viviendo",2  
"Me siento inutil incluso al intentar mejorar",2  
"Mi mente esta llena de oscuridad",2  
"Estoy sumido en una tristeza sin fin",2  
"Me duele levantarme cada manana",2  
"Cada dia me pesa mas la vida",2  
"Me siento sin direccion, sin metas",2  
"Nadie imagina lo mal que estoy por dentro",2  
"Estoy lleno de pensamientos oscuros que no se van",2  
"No puedo lidiar con esta sensacion constante de vacio",2  
"Estoy cansado de luchar contra mi propia mente",2  
"No veo futuro, solo una repeticion vacia",2  
"Siento que cada paso que doy es en vano",2  
"Me cuesta recordar como era ser feliz",2  
"No quiero seguir fingiendo que tengo control",2  
"Estoy perdido dentro de mi mismo",2  
"No hay nada que me ilusione",2  
"Estoy emocionalmente paralizado y sin energia",2  
"Me esfuerzo por mantenerme firme, pero estoy colapsando",2  
"Cada pensamiento me lleva mas abajo",2  
"Nadie me escucha realmente cuando hablo",2  
"Estoy completamente desconectado de todo",2  
"Ya no puedo distinguir entre tristeza y rutina",2  
"Siento que estoy atrapado en una tormenta sin fin",2  
"Me duele todo sin una razon aparente",2  
"No quiero que nadie me vea asi",2  
"Estoy completamente desgastado emocionalmente",2  
"Mi corazon esta vacio desde hace tiempo",2  
"No queda nada dentro de mi",2  
"Estoy cayendo en un abismo que no tiene fondo",2  
"No se como explicar lo que me pasa",2  
"Siento que no merezco sentirme mejor",2  
"Estoy roto y no se como arreglarme",2  
"Todo lo que hago parece inutil y forzado",2  
"No quiero seguir cargando con esto solo",2  
"Cada dia es un peso mas sobre mis hombros",2  
"Mi mente ya no responde como antes",2  
"No tengo motivacion ni para lo mas simple",2  
"Estoy apagado, como una llama que se extingue",2  
"Solo quiero cerrar los ojos y no sentir mas",2  
"Siento que ya no tengo nada que ofrecer",2  
"Estoy emocionalmente seco, sin ganas ni fe",2  
"Todo lo que antes era luz ahora es sombra",2  
"Ya no tengo fuerzas ni para llorar",2  
"Me siento derrotado cada vez que amanece",2  
"Lo intento pero nada mejora realmente",2  
"No me reconozco cuando me miro",2  
"Siento un vacio que no se llena con nada",2  
"Todo me resulta pesado incluso respirar",2  
"La tristeza me consume lentamente",2  
"Siento que me estoy desmoronando por dentro",2  
"No tengo el control sobre mis emociones",2  
"Cada dia despierto con menos ganas",2  
"Estoy harto de esta sensacion constante",2  
"Nada de lo que hago tiene sentido",2  
"No puedo encontrar un motivo para seguir",2  
"Mi mente esta llena de pensamientos oscuros",2  
"No tengo deseos de socializar con nadie",2  
"Mi tristeza es mas fuerte que yo",2  
"Siento que no hay futuro para mi",2  
"Estoy encerrado en un ciclo sin fin",2  
"No hay luz al final del tunel",2  
"Cada dia se siente igual al anterior",2  
"Mi cuerpo esta pero mi mente no",2  
"No encuentro alegria en nada",2  
"Me cuesta ver lo bueno de la vida",2  
"Estoy solo con mi dolor",2  
"Quisiera desaparecer por un tiempo",2  
"Estoy cansado de aparentar que estoy bien",2  
"Mi corazon se siente pesado todo el tiempo",2  
"Nadie entiende lo que siento de verdad",2  
"Ya no tengo energia para seguir intentando",2  
"Siento que fallo como persona",2  
"Me estoy rindiendo sin quererlo",2  
"Cada momento feliz parece falso",2  
"No tengo fuerzas para levantarme",2  
"Estoy atrapado en pensamientos tristes",2  
"No quiero hablar con nadie nunca",2  
"Estoy llorando por dentro aunque sonria",2  
"Cada paso que doy se siente en vano",2  
"Mi alma esta cansada de luchar",2  
"Estoy perdiendo el interes por todo",2  
"Nadie sabria si me voy",2  
"No veo sentido a lo que hago",2  
"Estoy vacio incluso cuando rio",2  
"Todo me abruma cada vez mas",2  
"Siento que no merezco nada bueno",2  
"Estoy cansado de no ser suficiente",2  
"Me duele vivir en este estado",2  
"Cada intento se vuelve una frustracion",2  
"Estoy desconectado de mis propias emociones",2  
"Ya no me importa nada en absoluto",2  
"No tengo mas ganas de fingir",2  
"Mi vida se siente como una carga",2  

